"STATEFIPS","zipcode","agi_stub_weighted_median","total_beneficiaries","total_services","Place_Of_Srvc","Place_Of_Srvc_binary"
"26","48864",5,50435,106368.6,"O",0
"26","48866",3,865,1632,"O",0
"26","48867",2,35586,61820.3,"O",0
"26","48872",3,2196,12930.1,"O",0
"26","48875",3,1521,6033.8,"O",0
"26","48876",3,568,2142.3,"O",0
"26","48879",3,17778,42181.8,"O",0
"26","48880",2,1156,4437,"O",0
"26","48881",3,246,1086,"O",0
"26","48883",3,943,2733,"O",0
"26","48884",2,324,418,"F",1
"26","48888",2,3704,52104.8,"O",0
"26","48891",2,93,479,"O",0
"26","48892",3,61,67,"O",0
"26","48893",3,39,56,"O",0
"26","48895",4,5327,12906.6,"O",0
"26","48906",2,2652,4181,"O",0
"26","48910",2,70673,202566,"F",1
"26","48911",2,36675,179487,"O",0
"26","48912",2,232935,473374.6,"F",1
"26","48915",2,1952,4476,"O",0
"26","48917",3,19140,111385.8,"O",0
"26","48933",2,3593,11711.3,"F",1
"26","49001",2,5477,45181,"O",0
"26","49002",3,22406,96137.6,"O",0
"26","49004",3,3194,5672,"O",0
"26","49006",2,11945,23838,"O",0
"26","49007",2,178753,619576.6,"F",1
"26","49008",3,64077,84283,"F",1
"26","49009",4,27531,66140,"O",0
"26","49010",3,8173,11572,"F",1
"26","49012",3,272,275,"F",1
"26","49013",2,408,896,"O",0
"26","49014",2,36096,63771,"O",0
"26","49015",3,57658,226307.8,"O",0
"26","49017",2,43960,122625,"O",0
"26","49021",3,299,301,"O",0
"26","49022",2,8587,45044,"O",0
"26","49024",4,57156,139089,"O",0
"26","49028",2,992,1861,"O",0
"26","49031",3,769,2187,"O",0
"26","49032",3,732,1455,"O",0
"26","49036",2,38345,70272,"O",0
"26","49037",2,9157,22972,"O",0
"26","49038",2,3101,7075,"O",0
"26","49040",2,1085,1835,"O",0
"26","49043",2,71,535.2,"F",1
"26","49045",2,328,336,"O",0
"26","49046",3,827,1260,"O",0
"26","49047",2,5269,11871,"O",0
"26","49048",2,138572,212264,"F",1
"26","49053",3,422,629,"O",0
"26","49055",3,376,379,"O",0
"26","49057",2,1156,1426,"O",0
"26","49058",3,22872,36944,"O",0
"26","49061",2,53,624,"F",1
"26","49067",2,39,811.5,"F",1
"26","49068",3,38655,122160,"O",0
"26","49071",4,1615,5528,"O",0
"26","49073",2,363,3994.4,"O",0
"26","49076",3,339,360,"O",0
"26","49078",3,490,1337,"O",0
"26","49079",3,7704,39836.6,"O",0
"26","49080",3,2817,6599,"O",0
"26","49082",3,330,400,"F",1
"26","49083",4,2860,7964,"O",0
"26","49085",4,172742,285745,"O",0
"26","49087",4,107,1375,"O",0
"26","49090",2,10586,21473.4,"O",0
"26","49091",2,17481,27484,"O",0
"26","49092",2,1442,1785,"O",0
"26","49093",2,14545,31573.3,"O",0
"26","49097",3,1868,3907,"O",0
"26","49098",2,12101,15446,"F",1
"26","49099",3,213,281,"O",0
"26","49101",3,788,1042,"F",1
"26","49103",3,9450,14033,"O",0
"26","49106",3,9436,13387,"O",0
"26","49107",2,3979,8909,"O",0
"26","49111",2,189,223,"F",1
"26","49112",3,1963,10401.4,"O",0
"26","49117",3,490,670,"O",0
"26","49120",2,24730,59590.9,"O",0
"26","49127",4,11154,17473,"O",0
"26","49128",2,80,1385.6,"F",1
"26","49129",4,77,374,"O",0
"26","49130",3,141,1391.6,"F",1
"26","49201",3,161663,669095,"F",1
"26","49202",2,44022,78701,"O",0
"26","49203",2,36449,85955,"O",0
"26","49220",3,246,3927.5,"F",1
"26","49221",2,44432,99145.3,"O",0
"26","49224",2,1626,3208,"O",0
"26","49228",3,1353,9377.3,"O",0
"26","49230",3,5788,13494,"O",0
"26","49234",3,441,2619,"F",1
"26","49236",3,3742,8621,"O",0
"26","49237",3,23,155,"O",0
"26","49238",3,12,300.9,"F",1
"26","49240",4,1705,3414,"O",0
"26","49242",2,26351,69269.7,"O",0
"26","49245",2,85,105,"O",0
"26","49246",3,11,11,"F",1
"26","49247",2,3440,14641.9,"O",0
"26","49250",2,5517,11285,"O",0
"26","49251",3,1159,5409,"O",0
"26","49252",2,509,823,"O",0
"26","49254",2,2041,4178,"O",0
"26","49256",2,2218,7481,"O",0
"26","49265",3,952,2343,"O",0
"26","49267",4,14,299,"O",0
"26","49268",3,16,415.2,"F",1
"26","49269",3,96,263,"O",0
"26","49274",2,598,908,"O",0
"26","49282",2,274,3982.9,"F",1
"26","49283",3,1403,3740,"O",0
"26","49284",3,125,134,"O",0
"26","49285",3,482,3368.3,"F",1
"26","49286",3,9114,20354,"O",0
"26","49287",3,262,556,"F",1
"26","49288",2,17,341.7,"F",1
"26","49301",5,2418,6253,"O",0
"26","49304",2,899,2049,"O",0
"26","49305",2,298,324,"O",0
"26","49306",4,401,540,"O",0
"26","49307",2,21468,69064.4,"O",0
"26","49315",4,7950,17195,"O",0
"26","49316",4,5880,14199,"O",0
"26","49319",3,2088,4169,"O",0
"26","49321",3,2947,5189,"O",0
"26","49323",4,175,183,"O",0
"26","49327",3,571,986,"O",0
"26","49329",3,197,2064,"O",0
"26","49330",3,52,289,"O",0
"26","49331",4,2349,3634,"O",0
"26","49332",2,457,5064,"O",0
"26","49333",4,1115,7635.7,"O",0
"26","49337",2,697,5268,"O",0
"26","49340",2,376,659,"O",0
"26","49341",4,12289,52730.8,"O",0
"26","49344",3,84,84,"O",0
